id,prediction,Usage
2,0,Private
3,0,Private
5,0,Public
6,0,Public
7,1,Private
9,1,Private
10,1,Private
17,1,Public
21,0,Private
23,1,Private
30,1,Public
35,0,Private
40,1,Private
43,1,Private
45,1,Public
49,0,Private
52,0,Public
53,0,Private
54,1,Private
68,0,Private
71,0,Private
73,0,Public
78,1,Private
83,0,Private
84,0,Private
87,0,Public
92,0,Public
94,0,Private
96,0,Private
98,0,Private
101,0,Public
103,0,Private
108,1,Private
110,1,Private
116,0,Private
120,0,Public
130,0,Private
139,0,Public
140,1,Public
141,1,Private
144,0,Public
145,0,Public
148,1,Public
150,0,Public
151,1,Public
152,0,Private
154,0,Public
159,0,Private
160,0,Private
162,0,Public
166,1,Public
173,0,Private
174,0,Public
177,1,Private
183,0,Private
189,0,Private
192,0,Public
193,0,Private
194,1,Private
195,0,Public
197,0,Public
203,0,Public
217,1,Public
232,1,Public
236,0,Public
239,1,Private
241,0,Private
242,1,Private
252,0,Private
255,1,Private
257,1,Private
259,0,Public
268,0,Private
270,0,Public
279,0,Private
281,0,Public
282,0,Private
283,1,Public
284,0,Private
285,0,Public
286,1,Public
288,0,Public
292,0,Private
295,0,Private
297,0,Private
302,0,Private
303,1,Public
306,1,Public
308,0,Private
309,0,Public
312,1,Public
314,0,Public
316,0,Private
317,0,Public
319,0,Public
321,0,Public
322,0,Private
323,0,Private
324,1,Public
330,0,Public
336,1,Public
344,1,Private
345,0,Private
351,1,Private
352,1,Public
365,1,Private
366,1,Public
367,0,Private
368,0,Private
371,0,Private
379,0,Private
380,0,Private
382,1,Public
383,0,Private
385,1,Public
387,1,Private
389,1,Private
391,1,Public
399,0,Private
400,1,Private
402,1,Public
409,0,Private
412,0,Private
420,1,Public
422,1,Private
423,1,Public
425,1,Private
426,1,Public
427,0,Public
434,0,Private
435,0,Private
439,0,Public
442,0,Public
453,1,Private
456,1,Public
468,0,Private
471,0,Private
476,1,Private
478,0,Private
480,0,Private
483,0,Private
488,0,Public
489,0,Public
494,1,Public
496,0,Public
497,0,Public
502,0,Private
503,0,Private
507,1,Public
508,0,Public
511,0,Public
512,1,Private
514,1,Public
517,0,Private
519,1,Private
520,0,Private
522,0,Public
529,0,Private
532,0,Private
537,1,Private
542,1,Public
543,0,Private
547,1,Public
549,0,Private
552,0,Private
554,0,Public
557,1,Private
558,0,Public
563,1,Public
564,0,Public
566,1,Public
