id,prediction,Usage
8,245.0,Public
11,277.0,Private
18,263.0,Private
23,61.0,Private
24,186.0,Private
27,91.0,Private
28,143.0,Private
30,52.0,Public
34,216.0,Private
37,43.0,Private
39,163.0,Public
46,65.0,Public
47,178.0,Public
49,164.0,Private
55,69.0,Public
57,104.0,Private
67,113.0,Public
79,115.0,Private
80,64.0,Public
89,158.0,Private
90,55.0,Private
91,69.0,Private
94,273.0,Private
97,196.0,Public
106,270.0,Private
107,84.0,Public
108,150.0,Public
109,91.0,Private
120,128.0,Private
125,109.0,Public
134,156.0,Public
138,97.0,Private
140,151.0,Public
144,219.0,Public
145,116.0,Private
146,308.0,Public
149,88.0,Public
151,220.0,Public
152,161.0,Public
154,229.0,Public
155,281.0,Private
160,115.0,Public
161,104.0,Private
163,197.0,Public
164,259.0,Public
168,135.0,Private
171,180.0,Private
172,94.0,Private
179,107.0,Public
186,89.0,Public
188,53.0,Public
193,67.0,Private
194,168.0,Public
209,93.0,Private
217,51.0,Private
218,42.0,Private
219,178.0,Private
220,237.0,Private
221,140.0,Public
223,70.0,Public
224,72.0,Public
225,86.0,Public
228,49.0,Public
234,262.0,Public
245,74.0,Public
249,233.0,Private
255,132.0,Public
258,214.0,Public
260,199.0,Private
261,79.0,Public
265,198.0,Public
266,178.0,Public
276,172.0,Private
278,52.0,Public
279,127.0,Private
281,131.0,Private
283,77.0,Public
286,143.0,Private
287,152.0,Private
289,91.0,Public
291,84.0,Private
294,128.0,Public
299,48.0,Public
300,142.0,Public
305,110.0,Public
310,132.0,Public
311,245.0,Private
317,275.0,Private
320,263.0,Public
322,248.0,Private
323,118.0,Public
324,206.0,Private
325,141.0,Public
329,144.0,Public
331,72.0,Public
336,63.0,Private
339,321.0,Private
342,103.0,Private
347,31.0,Public
350,166.0,Private
359,258.0,Private
361,276.0,Private
364,57.0,Public
368,233.0,Public
370,137.0,Private
371,232.0,Private
375,96.0,Public
376,310.0,Private
380,50.0,Private
381,101.0,Public
389,173.0,Public
390,248.0,Private
393,189.0,Private
394,42.0,Private
396,292.0,Public
397,90.0,Private
400,210.0,Private
404,64.0,Public
407,44.0,Private
409,268.0,Private
411,201.0,Private
412,80.0,Public
414,246.0,Private
416,332.0,Public
417,275.0,Private
422,66.0,Private
423,200.0,Private
425,101.0,Private
430,96.0,Public
433,81.0,Private
436,196.0,Private
439,77.0,Private
441,121.0,Public
