id,prediction,Usage
14,3,Private
16,3,Public
17,1,Public
18,8,Private
20,4,Private
28,7,Public
30,0,Public
32,2,Public
35,9,Private
37,9,Public
43,2,Public
44,8,Private
46,0,Private
48,7,Public
50,3,Private
52,7,Public
55,9,Public
61,9,Public
63,2,Private
66,6,Public
72,1,Private
74,1,Private
75,5,Public
80,6,Public
82,2,Private
89,6,Private
90,6,Private
93,8,Public
96,1,Public
99,5,Public
103,9,Private
105,2,Public
106,9,Private
108,5,Private
109,9,Private
111,5,Public
113,7,Private
120,4,Public
121,3,Private
122,9,Private
129,6,Public
131,7,Public
132,4,Private
133,5,Public
134,8,Private
135,4,Public
138,5,Public
139,2,Public
140,6,Public
141,1,Private
144,4,Private
149,9,Private
151,7,Private
156,3,Public
157,9,Public
158,5,Public
160,8,Public
165,9,Public
176,1,Public
180,6,Public
182,3,Public
185,1,Private
187,1,Private
190,7,Private
192,9,Private
193,8,Public
195,9,Private
199,8,Public
200,3,Public
201,5,Public
206,8,Public
208,5,Public
211,2,Public
213,7,Public
214,5,Private
215,1,Private
216,2,Public
218,3,Public
221,2,Public
224,3,Private
226,3,Private
228,2,Public
230,3,Private
233,6,Public
234,2,Private
235,8,Public
247,8,Public
254,0,Private
255,1,Public
256,7,Public
257,6,Public
260,6,Private
261,9,Private
263,7,Public
267,6,Public
268,4,Public
270,1,Private
272,1,Private
273,1,Private
278,0,Public
282,3,Private
288,5,Private
289,8,Public
293,2,Private
298,1,Public
299,9,Public
302,1,Private
304,1,Public
308,6,Public
313,1,Private
314,4,Public
315,0,Public
319,6,Private
325,7,Private
329,1,Private
334,7,Public
335,3,Private
338,9,Public
339,6,Private
341,5,Private
346,7,Public
353,5,Public
365,5,Private
367,2,Public
368,4,Public
376,1,Private
378,2,Public
381,3,Private
384,1,Public
386,5,Private
387,4,Public
391,7,Private
392,0,Public
393,8,Public
405,0,Private
407,4,Public
408,8,Private
416,4,Private
417,4,Private
421,7,Public
422,9,Private
423,1,Private
424,6,Public
428,8,Public
429,9,Private
431,0,Public
433,4,Private
436,3,Private
438,7,Private
443,1,Public
448,1,Public
450,3,Private
451,5,Public
454,9,Public
456,1,Private
459,8,Public
460,6,Private
462,4,Public
464,6,Private
466,5,Public
474,1,Public
475,3,Public
481,8,Public
483,0,Private
484,9,Private
493,0,Public
499,5,Public
504,4,Private
508,0,Private
510,2,Private
511,2,Private
513,2,Private
514,8,Public
518,8,Public
520,3,Private
521,3,Public
522,2,Public
527,7,Public
528,8,Private
531,3,Private
532,6,Public
535,4,Public
538,7,Public
541,1,Private
543,0,Public
544,2,Public
547,3,Private
551,0,Private
556,0,Private
559,3,Private
560,7,Private
561,1,Private
569,4,Public
571,0,Public
575,6,Private
578,0,Private
587,4,Public
588,2,Public
592,4,Public
596,1,Private
600,8,Public
608,9,Private
609,9,Private
614,1,Private
615,6,Private
617,9,Public
619,9,Private
621,2,Private
622,9,Private
623,3,Private
624,0,Private
630,3,Public
637,6,Public
638,0,Public
639,4,Private
641,1,Public
643,0,Private
646,8,Public
651,3,Public
653,9,Public
655,2,Public
659,8,Public
660,7,Public
669,4,Private
670,0,Public
671,4,Public
676,6,Public
679,3,Public
685,6,Private
692,9,Private
698,5,Private
699,5,Public
700,1,Public
702,4,Private
703,3,Private
705,8,Private
711,3,Private
712,5,Public
715,8,Private
716,9,Public
718,9,Public
723,5,Private
725,0,Private
727,1,Public
731,4,Private
734,9,Public
735,4,Public
736,9,Public
737,3,Public
741,6,Private
742,7,Private
743,1,Public
744,7,Public
754,6,Public
764,7,Private
765,8,Private
772,0,Private
778,2,Private
781,8,Public
782,8,Public
786,6,Private
793,1,Public
795,0,Private
796,5,Private
802,7,Private
803,3,Public
808,9,Private
811,3,Public
813,1,Public
814,3,Private
815,1,Private
816,0,Private
818,1,Public
819,0,Public
828,7,Private
838,7,Private
839,8,Public
840,4,Private
844,7,Public
845,3,Private
851,5,Public
852,8,Private
854,5,Public
855,3,Private
860,2,Private
871,0,Public
876,0,Private
877,5,Public
880,4,Private
881,4,Public
886,1,Private
887,4,Public
893,4,Public
895,2,Public
897,8,Private
900,8,Private
901,4,Private
903,2,Public
906,0,Public
911,8,Public
912,7,Private
913,8,Private
918,3,Public
923,5,Private
929,4,Public
933,8,Private
936,2,Public
939,5,Private
942,9,Private
944,4,Private
945,7,Public
946,5,Public
953,2,Public
955,4,Public
958,9,Private
959,3,Public
960,6,Private
963,5,Public
964,6,Private
966,5,Private
970,0,Public
971,7,Public
975,4,Private
980,9,Public
983,7,Public
987,0,Public
991,5,Public
992,6,Public
997,6,Private
999,6,Public
1006,4,Public
1009,7,Private
1014,6,Public
1016,7,Private
1017,9,Private
1022,2,Private
1025,5,Private
1028,3,Private
1029,6,Private
1030,0,Private
1046,8,Private
1053,6,Public
1056,8,Private
