id,prediction,Usage
5,1,Private
6,2,Private
8,0,Private
10,0,Private
13,2,Public
16,0,Private
17,1,Private
18,1,Private
21,1,Public
23,0,Private
24,0,Private
25,2,Private
30,0,Private
37,2,Private
38,1,Private
41,1,Public
47,2,Private
49,0,Public
58,1,Private
59,2,Private
64,2,Public
66,0,Public
70,1,Private
71,0,Public
72,1,Private
76,1,Public
77,1,Private
87,2,Private
88,1,Public
92,1,Public
97,2,Public
98,1,Private
101,0,Private
106,0,Private
108,2,Private
113,1,Private
121,1,Public
125,1,Public
126,1,Private
131,1,Private
133,2,Public
139,0,Private
141,1,Public
145,1,Private
153,0,Public
155,0,Public
157,2,Public
159,2,Public
161,0,Public
163,0,Public
164,2,Public
166,2,Public
167,0,Private
177,0,Private
